,_id,banderaDescripcion,banderaId,comercioId,comercioRazonSocial,direccion,id,lat,lng,localidad,provincia,sucursalId,sucursalNombre,sucursalTipo,geometry
95,5cbc698b7af152186c0cd19e,Vea,1,9,Jumbo Retail Argentina S.A.,Araoz Alfaro Dr. Gregorio 247,9-1-119,-34.5696,-58.473,villa urquiza,AR-C,119,Aráoz.,Supermercado,POINT (-58.473 -34.5696)
96,5cbc698b7af152186c0cd19f,Disco,2,9,Jumbo Retail Argentina S.A.,Naon Dr. Romulo 2142,9-2-107,-34.5696,-58.473,villa urquiza,AR-C,107,Naón.,Supermercado,POINT (-58.473 -34.5696)
97,5cbc698b7af152186c0cd1a0,Express,3,10,INC S.A.,Olazábal 1898,10-3-568,-34.557442,-58.453504,belgrano,AR-C,568,Olazábal 1898,Autoservicio,POINT (-58.453504 -34.557442)
98,5cbc698b7af152186c0cd1a1,Express,3,10,INC S.A.,Montañeses 2267,10-3-313,-34.555966,-58.450046,belgrano,AR-C,313,Montañeses 2267,Autoservicio,POINT (-58.450046 -34.555966)
99,5cbc698b7af152186c0cd1a2,Express,3,10,INC S.A.,Pareja 4890,10-3-685,-34.605415,-58.523705,villa devoto,AR-C,685,Pareja 4890,Autoservicio,POINT (-58.523705 -34.605415)
100,5cbc698b7af152186c0cd1a3,Supermercados DIA,1,15,DIA Argentina S.A,Cl Arcos 2192,15-1-269,-34.5594987,-58.4545906,belgrano,AR-C,269,269 - Belgrano,Autoservicio,POINT (-58.4545906 -34.5594987)
101,5cbc698b7af152186c0cd1a4,COTO CICSA,1,12,Coto Centro Integral de Comercialización S.A.,Amenabar 2134,12-1-47,-34.5628202,-58.4588525,Belgrano,AR-C,47,AMENABAR ,Hipermercado,POINT (-58.4588525 -34.5628202)
102,5cbc698b7af152186c0cd1a5,Market,2,10,INC S.A.,Juramento 2971,10-2-182,-34.5651,-58.462056,belgrano,AR-C,182,Juramento,Supermercado,POINT (-58.462056 -34.5651)
103,5cbc698b7af152186c0cd1a6,Supermercados DIA,1,15,DIA Argentina S.A,Juramento 2445,15-1-449,-34.5623559,-58.4573105,belgrano,AR-C,449,449 - Belgrano,Autoservicio,POINT (-58.4573105 -34.5623559)
104,5cbc698b7af152186c0cd1a7,Express,3,10,INC S.A.,Del Carril 3210,10-3-322,-34.593274,-58.502323,agronomia,AR-C,322,Del Carril 3210,Autoservicio,POINT (-58.502323 -34.593274)
105,5cbc698b7af152186c0cd1a8,Express,3,10,INC S.A.,Montañeses 2067,10-3-426,-34.557692,-58.448568,belgrano,AR-C,426,Montañeses 2067,Autoservicio,POINT (-58.448568 -34.557692)
106,5cbc698b7af152186c0cd1a9,Supermercados DIA,1,15,DIA Argentina S.A,Av Del Carril Salvador M. 2424,15-1-365,-34.5873745,-58.4927966,agronomia,AR-C,365,365 - Villa Pueyrredon,Autoservicio,POINT (-58.4927966 -34.5873745)
107,5cbc698b7af152186c0cd1aa,Disco,2,9,Jumbo Retail Argentina S.A.,Arcos Ing Antonio 1914,9-2-38,-34.5622,-58.4546,belgrano,AR-C,38,Arcos.,Supermercado,POINT (-58.4546 -34.5622)
